,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,job
0,0.021821578,0.389852679,0.826392792,0.091670214,-0.33130247,-0.192308729,-0.02792788,0.041016518,0.044023947,0.038093991,0.003838363,0.002529009,-0.009424749,-0.006952092,-0.003248716,0.011336809,0.012099528,-0.024960093,-0.009365269,-0.003185552,"data,scientist"
1,0.026413834,0.464418588,-0.380194172,0.661696691,-0.354249137,0.138437612,0.02948786,0.039724133,0.002627859,-0.003853046,0.011831814,0.016789871,0.002493034,0.004839292,0.022480338,0.014122628,0.004743576,-0.008464486,-0.010132707,-0.008539892,"data,scientist"
2,0.984185573,-0.077161318,-0.003351419,0.003039153,-0.02815463,-0.030447565,0.005286586,0.013592937,-0.004818418,-0.110805528,0.028590245,-0.055655613,0.001010266,-0.034117388,0.010152476,0.009710229,-0.019156279,0.01076607,0.026431225,-0.037978395,"data,scientist"
3,0.013808404,0.239761443,0.270407769,-0.077044217,0.050744157,0.427645304,-0.142721038,-0.144736491,-0.125511925,-0.381657813,-0.128406298,0.182851869,0.172391787,0.150467034,0.093856474,0.205588513,-0.046423044,0.044392395,0.009472663,0.015766467,"data,scientist"
4,0.005877031,0.103393196,0.046240699,-0.053490336,0.068139453,0.115440553,0.07489718,-0.061777049,0.085336323,-0.114770151,0.615920067,0.414321376,-0.185063099,-0.055372992,0.007829656,-0.077384884,-0.144854477,-0.032201986,-0.158135815,-0.112029483,"data,scientist"
5,0.004916088,0.098943759,-0.00590268,-0.101069915,0.004087393,0.056976025,0.062432605,-0.064127636,0.083554155,-0.119220503,0.57619422,0.469410948,-0.13462744,-0.05421309,-0.009487494,-0.156426194,-0.218637252,-0.02966732,-0.189255057,-0.036504427,"senior,data,scientist	"
6,0.049754175,0.377614504,0.135510658,-0.154166346,0.073372682,0.260514392,-0.137742128,-0.032890239,-0.3190354,0.081125833,-0.120335334,0.091243187,-0.114668863,-0.032481091,0.035621797,0.013451026,-0.222377263,-0.048413188,0.052180723,0.021493635,"data,scientist"
7,0.028830797,0.376849865,0.092557512,0.139207601,0.172725975,0.310611231,-0.144833609,-0.122430705,-0.018085387,-0.098783541,-0.060714193,-0.200052585,-0.098956367,-0.066231705,-0.229313564,-0.168916626,-0.133816831,0.147138493,-0.062890092,0.049229284,"data,scientist"
8,0.984185573,-0.077161318,-0.003351419,0.003039153,-0.02815463,-0.030447565,0.005286586,0.013592937,-0.004818418,-0.110805528,0.028590245,-0.055655613,0.001010266,-0.034117388,0.010152476,0.009710229,-0.019156279,0.01076607,0.026431225,-0.037978395,"data,scientist"
9,0.008213413,0.135529074,0.10254838,0.018385492,0.139211137,-0.010365565,0.292819982,-0.067365139,-0.060584735,0.06850585,0.235855357,-0.270075275,0.092832907,0.386752507,0.39246892,0.07942132,-0.133042968,0.026404024,0.034532624,0.036959175,"data,scientist"
10,0.028351396,0.378206517,-0.010232737,-0.166627401,0.219271743,0.22721741,-0.089318897,0.151204458,0.081463748,-0.157277477,-0.127912617,-0.00571401,0.058789663,0.003390306,-0.021152391,0.343974057,0.093596147,-0.124093761,-0.265542028,-0.101300712,"data,analytics"
11,0.01387919,0.129955708,0.143518103,-0.040689075,0.067518896,0.279335208,-0.057130751,-0.000575895,-0.103001131,-0.251501937,-0.130112568,0.250833006,0.164029812,0.420143431,0.212576267,0.199322982,-0.066732258,0.139089922,0.142341246,0.028540223,"data,scientist"
12,0.311150135,-0.022503311,0.000122726,-0.000451624,-0.001509568,-0.000142539,0.001264561,0.054596572,0.031859755,-0.089773586,0.034197721,-0.055628359,-0.071836682,-0.061502681,-0.014328881,0.099819288,-0.001615492,-0.125247445,-0.193483018,0.590963372,"senior,data,scientist	"
